"Step","r1_val_f1","r1_val_f1__MIN","r1_val_f1__MAX"
"16198","0.8484749794006348","0.8484749794006348","0.8484749794006348"
"32397","0.863886296749115","0.863886296749115","0.863886296749115"
"48596","0.8802917003631592","0.8802917003631592","0.8802917003631592"
"64795","0.8041803240776062","0.8041803240776062","0.8041803240776062"
"80994","0.8593148589134216","0.8593148589134216","0.8593148589134216"
"97193","0.871430516242981","0.871430516242981","0.871430516242981"
"113392","0.8697651624679565","0.8697651624679565","0.8697651624679565"
"129591","0.8605327606201172","0.8605327606201172","0.8605327606201172"
"145790","0.8762757182121277","0.8762757182121277","0.8762757182121277"
"161989","0.8591541051864624","0.8591541051864624","0.8591541051864624"
"178188","0.8479579091072083","0.8479579091072083","0.8479579091072083"
"194387","0.8732473850250244","0.8732473850250244","0.8732473850250244"
"210586","0.8601182699203491","0.8601182699203491","0.8601182699203491"
"226785","0.8393965363502502","0.8393965363502502","0.8393965363502502"
"242984","0.8877208828926086","0.8877208828926086","0.8877208828926086"
"259183","0.8353404998779297","0.8353404998779297","0.8353404998779297"
"275382","0.8681393265724182","0.8681393265724182","0.8681393265724182"
"291581","0.8523649573326111","0.8523649573326111","0.8523649573326111"
"307780","0.8568668961524963","0.8568668961524963","0.8568668961524963"