"Step","r1_val_precision","r1_val_precision__MIN","r1_val_precision__MAX"
"16198","0.8286788463592529","0.8286788463592529","0.8286788463592529"
"32397","0.845080554485321","0.845080554485321","0.845080554485321"
"48596","0.8716205954551697","0.8716205954551697","0.8716205954551697"
"64795","0.7777041792869568","0.7777041792869568","0.7777041792869568"
"80994","0.8439493179321289","0.8439493179321289","0.8439493179321289"
"97193","0.8641606569290161","0.8641606569290161","0.8641606569290161"
"113392","0.848316490650177","0.848316490650177","0.848316490650177"
"129591","0.8431679606437683","0.8431679606437683","0.8431679606437683"
"145790","0.8641287088394165","0.8641287088394165","0.8641287088394165"
"161989","0.8413667678833008","0.8413667678833008","0.8413667678833008"
"178188","0.8262563347816467","0.8262563347816467","0.8262563347816467"
"194387","0.8634596467018127","0.8634596467018127","0.8634596467018127"
"210586","0.8420839905738831","0.8420839905738831","0.8420839905738831"
"226785","0.8217770457267761","0.8217770457267761","0.8217770457267761"
"242984","0.8791755437850952","0.8791755437850952","0.8791755437850952"
"259183","0.8114005327224731","0.8114005327224731","0.8114005327224731"
"275382","0.8463940620422363","0.8463940620422363","0.8463940620422363"
"291581","0.8411111235618591","0.8411111235618591","0.8411111235618591"
"307780","0.8350703716278076","0.8350703716278076","0.8350703716278076"